system_size,hilbert_space_size,U,optimized_overlap,baseline_overlap,overlap_ratio
"$3\times 2,\;(3,3)$",68,9.0,0.9999999998730349,0.5254707304611672,1.903055568852347
"$3\times 2,\;(3,3)$",68,9.25,0.9999999998720237,0.5162801121258432,1.9369330260551927
"$3\times 2,\;(3,3)$",68,9.5,0.9999999998807771,0.5074014056407476,1.9708262309955071
"$3\times 2,\;(3,3)$",68,9.75,0.9999999999156106,0.4988229509473032,2.004719305750735
"$3\times 2,\;(3,3)$",68,10.0,0.9999999999176059,0.49053340448833316,2.0385971490783352
"$3\times 2,\;(3,3)$",68,10.25,0.9999999998979852,0.48252175671336806,2.072445409942446
"$3\times 2,\;(3,3)$",68,10.5,0.9999999999229408,0.4747773437713907,2.1062504625419725
"$3\times 2,\;(3,3)$",68,10.75,0.9999999999428921,0.4672898544792006,2.1399993823050205
"$3\times 2,\;(3,3)$",68,11.0,0.999999999940359,0.46004933345587773,2.173679923473396
"$3\times 2,\;(3,3)$",68,11.25,0.9999999999531424,0.4530461811548453,2.2072804971097537
"$3\times 2,\;(3,3)$",68,11.5,0.9999999999460827,0.4462711513965745,2.240790149254892
"$3\times 2,\;(3,3)$",68,11.75,0.9999999999676943,0.4397153469004873,2.2741985400705285
"$3\times 2,\;(3,3)$",68,12.0,0.9999999999665776,0.4333702132292492,2.3074959225164515
"$3\times 2,\;(3,3)$",68,12.25,0.9999999999775981,0.42722753148845516,2.34067312210337
"$3\times 2,\;(3,3)$",68,12.5,0.9999999999714542,0.4212794100667887,2.3737215161142493
"$3\times 2,\;(3,3)$",68,12.75,0.9999999999736962,0.41551827565364163,2.406633013675802
"$3\times 2,\;(3,3)$",68,13.0,0.99999999998303,0.40993686373117044,2.4394000356084415
"$3\times 2,\;(3,3)$",68,13.25,0.9999999999829385,0.4045282087042853,2.472015494756139
"$3\times 2,\;(3,3)$",68,13.5,0.999999999987397,0.39928563380402515,2.504472776694517
"$3\times 2,\;(3,3)$",68,13.75,0.9999999999911022,0.3942027408761861,2.536765720523463
