system_size,U,sparsity,overlap
"$4\times2,\;(3,3)$",0.5,NaN,0.95
"$4\times2,\;(3,3)$",0.75,NaN,0.95
"$4\times2,\;(3,3)$",1.0,NaN,0.95
"$4\times2,\;(3,3)$",1.25,NaN,0.95
"$4\times2,\;(3,3)$",1.5,NaN,0.95
"$4\times2,\;(3,3)$",1.75,NaN,0.95
"$4\times2,\;(3,3)$",2.0,NaN,0.95
"$4\times2,\;(3,3)$",2.25,NaN,0.95
"$4\times2,\;(3,3)$",2.5,NaN,0.95
"$4\times2,\;(3,3)$",2.75,0.8153076171875,0.95
"$4\times2,\;(3,3)$",3.0,0.727783203125,0.95
"$4\times2,\;(3,3)$",3.25,0.685394287109375,0.95
"$4\times2,\;(3,3)$",3.5,0.64776611328125,0.95
"$4\times2,\;(3,3)$",3.75,0.61370849609375,0.95
"$4\times2,\;(3,3)$",4.0,0.590087890625,0.95
"$4\times2,\;(3,3)$",4.25,0.586883544921875,0.95
"$4\times2,\;(3,3)$",4.5,0.5848236083984375,0.95
"$4\times2,\;(3,3)$",4.75,0.580474853515625,0.95
"$4\times2,\;(3,3)$",5.0,0.5735626220703125,0.95
"$4\times2,\;(3,3)$",5.25,0.5666046142578125,0.95
"$4\times2,\;(3,3)$",5.5,0.5531005859375,0.95
"$4\times2,\;(3,3)$",5.75,0.5472869873046875,0.95
"$4\times2,\;(3,3)$",6.0,0.5473785400390625,0.95
"$4\times2,\;(3,3)$",6.25,0.542388916015625,0.95
"$4\times2,\;(3,3)$",6.5,0.5318145751953125,0.95
"$4\times2,\;(3,3)$",6.75,0.52490234375,0.95
"$4\times2,\;(3,3)$",7.0,0.5238723754882812,0.95
"$4\times2,\;(3,3)$",7.25,0.500274658203125,0.95
"$4\times2,\;(3,3)$",7.5,0.4962921142578125,0.95
"$4\times2,\;(3,3)$",7.75,0.487823486328125,0.95
"$4\times2,\;(3,3)$",8.0,0.47484588623046875,0.95
"$4\times2,\;(3,3)$",8.25,0.4701080322265625,0.95
"$4\times2,\;(3,3)$",8.5,0.4717559814453125,0.95
"$4\times2,\;(3,3)$",8.75,0.46923828125,0.95
"$4\times2,\;(3,3)$",9.0,0.464385986328125,0.95
"$4\times2,\;(3,3)$",9.25,0.45697021484375,0.95
"$4\times2,\;(3,3)$",9.5,0.442230224609375,0.95
"$4\times2,\;(3,3)$",9.75,0.4572906494140625,0.95
"$4\times2,\;(3,3)$",10.0,0.456787109375,0.95
"$4\times2,\;(3,3)$",10.25,0.4513397216796875,0.95
"$4\times2,\;(3,3)$",10.5,0.450103759765625,0.95
"$4\times2,\;(3,3)$",10.75,0.4490509033203125,0.95
"$4\times2,\;(3,3)$",11.0,0.446441650390625,0.95
"$4\times2,\;(3,3)$",11.25,0.4453887939453125,0.95
"$4\times2,\;(3,3)$",11.5,0.4528961181640625,0.95
"$4\times2,\;(3,3)$",11.75,0.4431915283203125,0.95
"$4\times2,\;(3,3)$",12.0,0.444793701171875,0.95
"$4\times2,\;(3,3)$",12.25,0.44651031494140625,0.95
"$4\times2,\;(3,3)$",12.5,0.44147491455078125,0.95
"$4\times2,\;(3,3)$",12.75,0.435546875,0.95
"$4\times2,\;(3,3)$",13.0,0.43902587890625,0.95
"$4\times2,\;(3,3)$",13.25,0.4142608642578125,0.95
"$4\times2,\;(3,3)$",13.5,0.4088134765625,0.95
"$4\times2,\;(3,3)$",13.75,0.42174530029296875,0.95
"$4\times2,\;(3,3)$",14.0,0.4190216064453125,0.95
"$4\times2,\;(3,3)$",14.25,0.43243408203125,0.95
"$4\times2,\;(3,3)$",14.5,0.4349517822265625,0.95
"$4\times2,\;(3,3)$",14.75,0.442413330078125,0.95
"$4\times2,\;(3,3)$",15.0,0.445526123046875,0.95
"$3\times3,\;(3,3)$",0.5,NaN,0.95
"$3\times3,\;(3,3)$",0.75,NaN,0.95
"$3\times3,\;(3,3)$",1.0,NaN,0.95
"$3\times3,\;(3,3)$",1.25,1.637451171875,0.95
"$3\times3,\;(3,3)$",1.5,1.537109375,0.95
"$3\times3,\;(3,3)$",1.75,1.278564453125,0.95
"$3\times3,\;(3,3)$",2.0,1.098388671875,0.95
"$3\times3,\;(3,3)$",2.25,1.01177978515625,0.95
"$3\times3,\;(3,3)$",2.5,0.9083251953125,0.95
"$3\times3,\;(3,3)$",2.75,0.822998046875,0.95
"$3\times3,\;(3,3)$",3.0,0.77685546875,0.95
"$3\times3,\;(3,3)$",3.25,0.7303466796875,0.95
"$3\times3,\;(3,3)$",3.5,0.687225341796875,0.95
"$3\times3,\;(3,3)$",3.75,0.677520751953125,0.95
"$3\times3,\;(3,3)$",4.0,0.6666259765625,0.95
