system_size,U,sparsity,overlap
"$3\times 2\;(2,2)$",8.0,0.24561403508771928,0.9999999937386248
"$3\times 2\;(2,2)$",8.0,0.24561403508771928,0.9999999937386248
"$3\times 2\;(2,2)$",8.0,0.24561403508771928,0.9999999937386248
"$3\times 2\;(2,2)$",8.0,0.2543859649122807,0.9999999936934205
"$3\times 2\;(2,2)$",8.0,0.2807017543859649,0.9999999001746698
"$3\times 2\;(2,2)$",8.0,0.2807017543859649,0.9999999001746698
"$3\times 2\;(2,2)$",8.0,0.32456140350877194,0.9999999133494463
"$3\times 2\;(2,2)$",8.0,0.3333333333333333,0.999999616555299
"$3\times 2\;(2,2)$",8.0,0.35964912280701755,0.9999991702348425
"$3\times 2\;(2,2)$",8.0,0.37719298245614036,0.9999970498597108
"$3\times 2\;(2,2)$",8.0,0.38596491228070173,0.9999967191036471
"$3\times 2\;(2,2)$",8.0,0.42105263157894735,0.999989825859321
"$3\times 2\;(2,2)$",8.0,0.45614035087719296,0.9999726739305892
"$3\times 2\;(2,2)$",8.0,0.49122807017543857,0.9997791969311564
"$3\times 2\;(2,2)$",8.0,0.5263157894736842,0.9997621752995068
"$3\times 2\;(2,2)$",8.0,0.5526315789473685,0.9995281626445357
"$3\times 2\;(2,2)$",8.0,0.5614035087719298,0.9995190112565543
"$3\times 2\;(2,2)$",8.0,0.5877192982456141,0.9988979954847138
"$3\times 2\;(2,2)$",8.0,0.6052631578947368,0.9983547618374983
"$3\times 2\;(2,2)$",8.0,0.6491228070175439,0.9974673654117788
"$3\times 2\;(2,2)$",8.0,0.6842105263157895,0.9939093467618381
"$3\times 2\;(2,2)$",8.0,0.7105263157894737,0.9935945865374997
"$3\times 2\;(2,2)$",8.0,0.7719298245614035,0.9809242704598863
"$3\times 2\;(2,2)$",8.0,0.8508771929824561,0.9115298853658458
"$3\times 2\;(2,2)$",8.0,0.8859649122807017,0.8997365885310701
"$3\times 2\;(2,2)$",8.0,0.9298245614035088,0.8556068852651718
"$3\times 2\;(2,2)$",8.0,0.956140350877193,0.880618928447554
"$3\times 2\;(2,2)$",8.0,0.9736842105263158,0.880618928447554
"$3\times 2\;(2,2)$",8.0,0.9824561403508771,0.880618928447554
"$3\times 2\;(2,2)$",8.0,0.9824561403508771,0.880618928447554
